Subdivision,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan_Feb,Mar_May,Jun_Sep,Oct_Dec,Cloud_Visibility_Pct,Elevation_m,Max_Temp_C,Flood
Assam & Meghalaya,1986,26.2,13.8,71.1,134.4,349.5,686.0,1037.7,648.1,427.8,300.5,76.2,15.6,3787.1,40.0,555.0,2799.7,392.3,12.0,850.0,25.8,1
Gujarat Region,1990,9.1,21.6,34.8,85.4,146.9,332.4,296.0,328.3,305.3,96.8,91.7,14.2,1762.4,30.7,267.1,1262.0,202.6,63.1,850.0,26.5,0
Konkan & Goa,1992,17.3,8.9,41.8,131.8,155.9,644.6,659.2,442.8,399.7,178.9,139.5,18.0,2838.3,26.2,329.5,2146.2,336.3,16.9,250.0,24.6,1
Tamil Nadu,2008,12.9,15.1,46.4,62.7,116.9,248.3,560.4,498.2,166.0,212.1,59.0,36.2,2034.2,28.0,226.0,1472.9,307.3,37.5,15.0,24.9,1
Coastal Karnataka,1989,12.3,29.8,35.3,75.0,247.5,471.4,1236.1,665.6,333.6,229.8,122.6,31.9,3490.8,42.1,357.8,2706.6,384.2,12.0,500.0,33.1,1
Assam & Meghalaya,2023,5.7,39.8,52.0,140.7,323.1,511.4,806.8,415.6,411.2,163.2,137.8,14.4,3021.7,45.5,515.8,2145.0,315.4,20.5,500.0,29.0,1
East Uttar Pradesh,1990,11.6,14.0,16.6,84.9,184.7,355.5,430.8,468.4,313.4,184.0,68.3,20.0,2152.3,25.6,286.2,1568.1,272.3,44.4,500.0,32.3,0
Kerala,2018,16.7,10.7,23.4,81.6,208.0,716.9,953.2,767.5,328.7,422.6,171.9,30.8,3732.1,27.4,313.0,2766.5,625.3,12.0,500.0,33.8,1
Coastal Karnataka,2008,17.7,23.6,38.8,85.5,198.9,453.2,1150.7,281.6,317.7,245.7,93.5,34.6,2941.6,41.4,323.2,2203.2,373.8,12.0,30.0,26.3,1
Konkan & Goa,2016,12.7,14.9,66.1,103.1,252.8,641.9,712.7,691.0,374.3,290.1,95.9,32.0,3287.5,27.6,422.0,2419.8,418.1,17.7,250.0,27.7,1
Bihar,2003,10.0,21.0,21.1,79.1,73.4,338.5,503.4,167.6,191.5,29.0,82.3,15.7,1532.6,30.9,173.6,1201.0,127.1,57.3,850.0,28.4,0
Konkan & Goa,1999,22.4,24.9,53.3,50.0,180.4,639.5,1017.5,645.7,473.7,177.9,124.7,32.1,3442.1,47.3,283.6,2776.4,334.7,12.0,15.0,27.6,1
Konkan & Goa,1980,19.5,33.0,45.5,109.2,193.3,429.6,819.9,567.5,575.7,220.2,104.4,18.1,3135.9,52.4,348.0,2392.8,342.7,12.0,15.0,28.8,1
Bihar,1996,17.9,15.6,37.7,64.9,167.8,485.4,674.2,409.4,249.4,333.0,44.8,33.9,2533.8,33.5,270.3,1818.3,411.7,32.2,30.0,30.1,1
East Uttar Pradesh,1982,2.0,20.5,55.3,54.0,237.3,357.4,738.2,345.2,174.9,247.2,96.4,26.3,2354.8,22.5,346.7,1615.7,370.0,26.3,15.0,24.9,1
East Uttar Pradesh,2020,6.1,16.6,26.0,67.5,79.2,441.7,675.3,130.1,331.8,155.6,53.4,19.9,2003.3,22.7,172.7,1579.0,229.0,38.5,250.0,34.5,1
Sub-Himalayan West Bengal,1984,13.4,13.6,25.6,55.1,163.2,238.2,717.5,379.1,279.7,170.6,36.6,16.6,2109.2,27.0,243.9,1614.5,223.7,39.8,850.0,32.3,0
Assam & Meghalaya,2023,9.6,22.9,41.5,88.3,252.9,319.6,989.5,601.1,347.6,326.2,145.4,18.6,3163.1,32.5,382.7,2257.7,490.1,12.0,250.0,32.1,1
East Uttar Pradesh,2000,11.5,16.8,35.7,98.2,154.4,173.7,767.2,445.1,280.5,169.6,31.1,3.1,2187.0,28.3,288.3,1666.5,203.9,30.8,80.0,27.0,1
Kerala,1997,11.3,13.3,54.5,115.1,209.5,702.9,931.7,888.3,421.5,202.8,49.0,16.8,3616.9,24.6,379.1,2944.5,268.6,12.0,250.0,23.6,0
Gujarat Region,1983,8.2,25.7,14.1,46.3,90.7,523.1,456.4,572.3,278.1,105.3,88.7,6.9,2215.9,33.9,151.2,1829.9,200.9,35.0,80.0,25.2,1
Sub-Himalayan West Bengal,2022,19.9,19.8,57.7,83.1,91.9,541.8,422.5,569.6,272.7,143.9,100.6,8.9,2332.4,39.7,232.8,1806.5,253.5,42.2,30.0,23.1,1
Konkan & Goa,2024,15.4,11.9,60.8,69.8,193.0,649.5,809.5,702.8,433.8,338.3,95.6,37.5,3417.8,27.3,323.6,2595.6,471.4,12.0,30.0,36.6,1
Gujarat Region,2024,5.9,13.9,16.2,88.9,221.5,291.7,419.9,702.7,322.3,206.6,18.1,26.6,2334.1,19.8,326.6,1736.5,251.3,46.2,30.0,35.1,1
Odisha,1984,9.6,18.3,13.7,54.3,80.1,420.9,236.3,213.9,174.5,122.5,85.6,46.7,1476.2,27.9,148.0,1045.6,254.7,57.8,250.0,31.9,1
Gangetic West Bengal,2004,10.0,20.3,49.9,69.6,180.7,409.3,372.0,303.2,330.4,186.5,122.7,8.7,2063.3,30.3,300.2,1415.0,317.9,56.4,250.0,30.4,1
Gujarat Region,1992,18.1,2.2,56.3,63.3,97.2,178.5,665.1,363.0,401.1,119.8,30.6,15.5,2010.8,20.3,216.8,1607.7,166.0,43.3,500.0,36.5,1
Rayalseema,1986,21.0,2.9,29.0,67.1,134.9,357.6,664.0,560.3,83.0,150.4,91.9,19.6,2181.7,23.9,231.0,1665.0,261.9,37.6,250.0,36.0,1
Gujarat Region,1995,11.3,10.2,16.6,42.7,184.0,298.7,715.2,495.7,209.8,121.0,41.7,33.3,2180.2,21.5,243.3,1719.4,196.0,36.8,250.0,36.0,1
Assam & Meghalaya,2015,23.7,25.2,38.5,96.4,266.0,620.2,751.3,909.6,276.0,201.0,89.7,15.7,3313.3,48.8,400.9,2557.0,306.4,12.0,850.0,31.6,1
Coastal Karnataka,2006,10.3,37.0,67.9,71.4,225.1,624.1,691.5,744.2,435.6,245.8,83.0,18.5,3254.3,47.3,364.4,2495.3,347.3,12.0,250.0,29.2,1
Gangetic West Bengal,2021,2.7,16.7,1.8,74.6,207.3,338.4,433.4,406.1,192.5,177.7,43.8,12.9,1907.8,19.4,283.7,1370.4,234.4,57.1,500.0,27.3,0
East Uttar Pradesh,2012,4.9,22.5,27.6,44.4,159.7,351.5,339.7,448.8,344.5,99.6,31.0,30.2,1904.7,27.5,231.7,1484.6,160.9,53.1,30.0,34.4,1
Sub-Himalayan West Bengal,2017,13.4,12.3,7.2,108.0,220.2,389.8,493.2,382.9,366.3,47.1,78.6,11.8,2130.8,25.8,335.3,1632.2,137.5,46.1,850.0,29.9,0
Kerala,2015,28.0,36.8,43.9,75.6,227.3,519.0,754.2,872.6,405.6,191.3,139.2,15.5,3309.1,64.8,346.8,2551.5,346.0,12.0,80.0,34.2,1
Odisha,1997,0.0,6.9,36.9,82.3,106.4,376.7,286.4,465.5,181.7,233.9,8.2,24.4,1809.3,6.9,225.6,1310.3,266.4,48.5,80.0,35.7,0
Sub-Himalayan West Bengal,1987,10.8,14.5,38.6,63.8,118.4,287.1,489.9,283.4,256.0,89.7,22.0,20.1,1694.2,25.3,220.8,1316.3,131.8,51.5,80.0,30.3,1
Rayalseema,2003,5.7,5.5,6.8,36.9,119.3,225.1,459.8,467.6,229.7,141.2,112.6,23.0,1833.1,11.2,162.9,1382.3,276.8,47.5,80.0,30.8,1
Assam & Meghalaya,1992,17.3,31.3,72.9,109.2,305.2,390.8,888.1,709.7,482.9,279.8,114.8,28.9,3430.6,48.6,487.3,2471.4,423.4,12.0,500.0,33.4,1
Gangetic West Bengal,2013,9.9,16.2,9.7,58.1,197.9,472.8,548.3,592.9,332.0,217.2,35.0,14.0,2503.9,26.1,265.6,1946.1,266.1,30.3,850.0,30.8,0
Gujarat Region,1990,4.7,3.5,16.5,32.1,198.8,299.0,650.0,298.7,353.4,178.9,69.0,18.2,2122.7,8.2,247.3,1601.0,266.1,45.1,850.0,32.6,0
Gujarat Region,2005,4.9,20.6,35.2,72.8,115.9,441.4,421.7,631.7,146.2,123.4,57.7,19.0,2090.4,25.5,224.0,1640.9,200.1,43.9,15.0,27.8,1
Odisha,2004,4.7,0.0,4.6,98.9,129.1,418.8,513.6,574.7,289.1,149.9,87.4,16.1,2287.0,4.7,232.7,1796.2,253.4,28.4,850.0,24.1,1
Kerala,2002,12.6,27.8,51.1,100.7,211.9,411.0,987.3,815.9,673.3,196.6,108.5,15.1,3611.8,40.3,363.8,2887.6,320.2,12.0,80.0,27.9,1
Gujarat Region,1995,14.8,7.8,0.0,52.3,122.8,362.0,430.0,209.2,393.0,135.8,82.3,26.9,1836.7,22.6,175.1,1394.1,245.0,56.2,500.0,26.8,0
Sub-Himalayan West Bengal,1995,15.4,8.2,37.6,49.1,96.6,368.8,371.4,479.9,130.6,3.5,114.9,16.4,1692.2,23.7,183.2,1350.6,134.7,45.9,500.0,25.7,0
Sub-Himalayan West Bengal,2015,8.0,17.3,18.2,44.4,75.7,553.6,498.4,355.2,190.8,120.7,14.4,20.5,1917.1,25.3,138.3,1598.0,155.5,44.9,30.0,25.7,1
Gangetic West Bengal,2024,3.0,16.8,17.0,30.5,94.3,383.6,584.2,399.7,178.5,187.4,46.3,22.6,1963.8,19.8,141.8,1546.0,256.2,39.0,30.0,34.3,1
Gangetic West Bengal,2004,11.2,34.4,29.4,87.7,190.3,652.2,649.0,381.8,83.7,192.0,117.3,0.5,2429.4,45.6,307.3,1766.7,309.8,43.1,850.0,35.0,0
Rayalseema,2016,18.5,18.5,24.5,78.5,226.6,394.7,321.1,313.9,269.0,177.6,16.0,17.3,1876.3,36.9,329.7,1298.8,210.9,49.9,80.0,24.4,1
Gujarat Region,1992,3.9,15.2,37.2,54.3,114.5,451.6,632.7,36.5,23.9,169.9,37.1,11.0,1587.8,19.1,206.1,1144.7,217.9,48.5,80.0,24.1,1
Sub-Himalayan West Bengal,2008,0.0,17.1,11.0,36.0,167.2,276.3,408.5,460.7,481.4,187.5,35.5,30.7,2112.0,17.1,214.2,1626.9,253.7,41.9,15.0,29.3,1
East Uttar Pradesh,2020,11.8,12.5,40.5,36.4,79.3,243.5,463.0,277.4,440.1,178.7,56.6,4.1,1843.7,24.3,156.1,1423.9,239.4,53.6,850.0,27.5,0
Konkan & Goa,1982,11.3,31.0,45.1,86.3,238.1,721.4,920.7,650.2,381.9,91.9,69.9,28.4,3276.3,42.4,369.5,2674.2,190.2,12.0,500.0,26.3,1
Kerala,1999,11.9,43.5,35.9,79.2,256.6,567.9,1106.2,553.4,304.2,216.5,122.4,14.7,3312.4,55.5,371.7,2531.7,353.6,12.0,250.0,34.8,1
Gujarat Region,2005,0.8,4.8,37.7,76.5,119.6,336.3,745.6,316.1,380.4,99.6,91.3,22.9,2231.5,5.6,233.7,1778.4,213.8,31.1,30.0,32.5,0
Odisha,2015,11.2,3.6,10.2,66.6,242.9,330.1,611.4,292.7,210.1,89.6,49.9,3.6,1921.7,14.7,319.7,1444.3,143.0,36.8,500.0,31.7,1
Konkan & Goa,2011,24.6,30.0,48.7,93.9,331.9,579.5,701.1,701.9,616.7,224.1,137.4,14.3,3504.1,54.6,474.6,2599.2,375.8,12.0,30.0,26.3,1
East Uttar Pradesh,2013,15.0,12.0,25.8,45.1,180.3,385.1,481.5,681.0,226.9,224.6,69.5,10.3,2357.0,26.9,251.2,1774.5,304.4,44.7,850.0,30.6,0
East Uttar Pradesh,2022,4.9,3.9,44.4,80.5,237.4,275.3,514.7,250.5,43.2,100.6,87.5,42.2,1685.1,8.8,362.2,1083.7,230.3,51.0,80.0,25.0,1
Konkan & Goa,1986,14.1,30.5,71.9,130.5,324.2,578.8,856.8,725.3,331.8,210.1,91.6,35.2,3400.9,44.6,526.6,2492.7,337.0,12.0,500.0,34.3,1
Gujarat Region,2007,0.0,14.1,34.9,85.5,185.3,249.5,428.3,415.2,232.4,102.7,38.0,21.7,1807.6,14.1,305.6,1325.5,162.4,51.3,250.0,29.7,1
East Uttar Pradesh,1990,10.3,21.1,40.9,45.1,107.4,351.4,579.1,339.1,267.5,147.6,57.8,29.2,1996.5,31.4,193.4,1537.0,234.6,41.3,250.0,33.5,1
Rayalseema,2011,15.0,31.7,31.1,50.2,127.0,315.2,649.2,451.3,132.4,155.8,59.2,11.6,2029.7,46.6,208.3,1548.1,226.6,44.4,850.0,28.0,0
East Uttar Pradesh,1991,7.5,17.9,32.6,120.3,30.2,348.6,634.2,350.1,224.7,195.2,54.9,2.0,2018.3,25.4,183.2,1557.7,252.1,36.1,30.0,36.0,1
East Uttar Pradesh,1982,2.8,2.7,20.7,57.3,105.7,308.2,472.4,301.1,385.4,92.5,47.8,10.4,1807.0,5.5,183.8,1467.1,150.7,58.7,15.0,25.2,1
Konkan & Goa,1985,13.4,15.8,39.7,85.8,224.1,508.4,1038.1,487.0,392.5,122.1,99.5,36.2,3062.7,29.2,349.6,2426.0,257.9,12.0,500.0,25.4,1
Sub-Himalayan West Bengal,2018,11.1,23.7,57.7,82.2,268.4,275.7,466.0,446.4,311.9,234.7,16.6,14.7,2209.0,34.8,408.2,1500.1,265.9,40.7,250.0,29.1,1
Bihar,1982,16.7,15.5,15.5,60.8,184.2,460.0,520.0,559.8,401.2,111.4,70.8,20.1,2435.9,32.2,260.5,1940.9,202.2,28.8,850.0,27.6,0
Odisha,2012,6.5,16.0,30.6,46.4,138.9,481.6,423.4,287.7,214.1,228.7,47.0,16.3,1937.1,22.4,215.9,1406.7,292.0,62.4,850.0,27.5,0
Odisha,2019,17.3,14.3,35.6,31.3,147.6,344.9,494.5,413.9,205.2,67.7,80.3,21.4,1873.9,31.6,214.6,1458.5,169.3,56.3,30.0,34.8,1
Bihar,1998,10.1,22.0,0.0,82.0,180.4,360.3,548.1,282.4,313.4,143.7,54.0,38.1,2034.4,32.1,262.4,1504.2,235.7,37.4,30.0,29.0,1
Rayalseema,2024,16.2,10.4,16.9,25.9,176.9,347.0,630.9,339.5,178.2,320.5,144.5,12.1,2218.9,26.6,219.7,1495.5,477.1,46.6,80.0,30.6,1
Coastal Karnataka,2010,12.7,26.0,76.0,149.0,254.1,561.5,770.7,719.4,446.4,133.5,101.3,37.8,3288.6,38.8,479.1,2498.0,272.6,12.0,15.0,29.5,1
Sub-Himalayan West Bengal,2024,4.9,31.9,28.9,29.2,144.2,432.6,761.7,388.6,160.5,228.4,29.8,6.7,2247.6,36.8,202.4,1743.5,265.0,30.2,15.0,25.1,1
East Uttar Pradesh,1991,18.4,22.8,39.6,90.0,160.2,374.5,523.6,124.9,298.6,163.3,32.7,13.3,1862.0,41.3,289.8,1321.6,209.3,49.8,500.0,28.6,0
Kerala,1983,8.6,21.3,24.3,111.8,263.7,479.1,927.3,503.0,523.3,239.4,138.6,31.8,3272.2,29.8,399.8,2432.7,409.8,12.0,500.0,29.2,1
Gujarat Region,2019,5.4,23.4,15.2,63.6,104.9,206.8,444.3,316.3,227.8,198.3,7.8,8.3,1622.0,28.8,183.7,1195.2,214.4,51.2,500.0,32.9,0
Tamil Nadu,1993,21.0,9.3,34.1,84.2,179.8,323.7,673.0,585.1,131.6,135.2,41.9,20.6,2239.5,30.3,298.1,1713.5,197.7,26.9,15.0,34.1,1
Odisha,2024,10.0,10.1,18.8,57.0,156.7,129.5,494.3,287.2,179.5,92.7,86.2,0.8,1523.0,20.1,232.6,1090.5,179.8,53.0,850.0,28.8,0
Sub-Himalayan West Bengal,2004,12.0,16.6,41.7,19.1,134.1,414.1,469.1,452.3,72.5,125.9,38.7,46.4,1842.6,28.6,194.9,1408.1,211.0,48.6,500.0,23.8,0
Kerala,2003,9.8,34.4,47.6,121.7,321.8,764.2,1141.0,697.0,370.9,139.9,157.3,18.5,3824.1,44.2,491.1,2973.1,315.7,12.0,30.0,31.1,1
Coastal Karnataka,2011,18.7,24.9,60.2,91.6,207.9,713.7,454.9,721.9,341.2,265.2,162.2,22.7,3085.1,43.6,359.7,2231.7,450.1,24.8,500.0,28.3,1
Assam & Meghalaya,2005,9.9,23.9,35.0,79.7,322.6,447.7,1026.5,686.5,388.8,292.3,143.9,36.6,3493.5,33.8,437.3,2549.5,472.9,12.0,15.0,23.2,1
Kerala,2013,18.6,21.1,61.3,129.9,266.1,623.4,741.7,754.9,317.7,219.3,107.2,16.2,3277.6,39.8,457.4,2437.7,342.7,12.0,850.0,25.0,1
Kerala,2021,10.7,32.2,47.1,81.4,297.9,571.2,823.5,931.1,385.3,287.3,60.3,4.7,3532.7,42.9,426.4,2711.1,352.3,12.0,30.0,27.5,1
Konkan & Goa,1997,8.3,10.0,39.6,119.8,336.2,737.6,1030.1,833.6,515.9,257.0,65.9,24.1,3978.0,18.3,495.6,3117.1,347.0,12.0,500.0,30.8,1
Konkan & Goa,1991,16.2,15.4,51.3,108.4,273.4,533.4,580.9,744.6,374.8,137.3,140.6,33.8,3010.1,31.6,433.1,2233.7,311.7,21.6,250.0,28.3,1
Odisha,2018,10.5,9.4,32.6,94.6,98.8,221.6,536.1,175.1,96.4,219.9,58.6,20.8,1574.3,19.9,225.9,1029.2,299.3,62.3,250.0,35.3,0
Bihar,1992,0.0,15.5,40.2,64.8,182.9,402.8,716.0,285.8,304.5,160.0,61.5,24.1,2258.2,15.5,287.9,1709.1,245.6,31.9,15.0,31.6,1
Gangetic West Bengal,2008,10.8,11.8,53.8,34.8,131.2,347.5,624.1,190.1,400.1,182.0,95.4,14.2,2095.8,22.6,219.8,1561.8,291.6,44.0,80.0,30.2,1
Kerala,1982,11.9,35.1,66.4,132.0,323.7,489.3,646.6,715.8,516.1,177.9,78.8,20.0,3213.6,47.0,522.1,2367.8,276.7,13.3,850.0,28.5,1
Assam & Meghalaya,2014,25.5,24.2,33.5,89.0,240.8,587.6,680.8,923.0,421.3,169.2,98.0,11.0,3304.0,49.7,363.3,2612.8,278.2,13.5,500.0,35.9,1
Tamil Nadu,1994,7.5,29.3,33.0,62.8,125.7,391.5,587.0,257.3,276.5,81.5,58.6,14.9,1925.4,36.8,221.4,1512.2,155.0,40.0,30.0,23.6,1
Assam & Meghalaya,2008,15.5,29.5,41.7,120.8,159.0,526.9,676.9,821.8,264.6,285.5,113.3,31.1,3086.6,45.0,321.5,2290.1,429.9,21.9,500.0,24.4,1
Gangetic West Bengal,2023,9.6,24.7,4.2,75.7,202.8,540.1,800.4,213.3,172.4,91.8,49.6,2.9,2187.5,34.3,282.7,1726.2,144.3,28.7,250.0,35.4,1
Assam & Meghalaya,2024,9.2,26.2,79.1,67.0,258.3,536.8,1209.0,630.5,360.0,133.4,114.9,43.0,3467.3,35.3,404.4,2736.3,291.2,12.0,30.0,34.1,1
Sub-Himalayan West Bengal,1991,16.7,2.8,41.3,77.8,151.2,232.5,481.0,332.9,287.3,28.8,109.2,25.0,1786.6,19.4,270.3,1333.7,163.1,59.3,30.0,35.5,1
Sub-Himalayan West Bengal,2012,15.0,22.0,30.0,65.7,107.3,438.5,474.3,347.0,178.8,192.0,74.2,19.6,1964.2,36.9,202.9,1438.6,285.8,45.8,15.0,30.1,1
Gangetic West Bengal,1998,12.4,21.0,29.7,40.7,108.9,183.5,824.5,656.6,131.5,136.5,36.4,30.7,2212.3,33.4,179.2,1796.1,203.6,26.5,250.0,36.5,1
East Uttar Pradesh,1992,8.7,15.4,15.8,68.8,123.4,275.7,451.3,586.9,261.6,266.6,56.5,5.7,2136.3,24.1,208.0,1575.5,328.8,41.0,250.0,27.3,1
Gujarat Region,2018,13.7,11.1,43.3,67.1,198.1,283.6,593.6,389.0,238.8,98.1,41.8,20.3,1998.5,24.8,308.5,1505.0,160.2,43.4,500.0,33.4,1
East Uttar Pradesh,1983,16.7,2.0,0.0,70.4,95.8,365.5,638.6,417.9,369.1,207.9,39.9,7.1,2230.8,18.6,166.1,1791.2,254.9,36.8,500.0,23.6,0
Kerala,1991,18.6,15.7,67.9,96.8,274.8,458.6,780.4,451.5,534.6,210.2,144.8,17.5,3071.3,34.3,439.5,2225.1,372.4,15.6,15.0,24.4,1
Odisha,1993,1.2,10.7,48.9,50.8,124.6,381.6,650.4,147.3,255.7,197.9,26.0,9.9,1904.9,11.9,224.3,1435.0,233.7,48.0,250.0,32.5,1
East Uttar Pradesh,1985,2.6,6.0,19.8,74.3,140.0,243.6,219.5,524.9,307.2,316.4,34.9,24.9,1914.1,8.6,234.0,1295.2,376.3,66.3,30.0,27.7,1
Sub-Himalayan West Bengal,2015,15.6,9.1,14.2,57.0,152.9,437.0,561.8,349.1,399.4,124.6,58.1,5.7,2184.6,24.7,224.0,1747.4,188.5,26.6,850.0,32.1,0
Gujarat Region,2016,11.7,0.0,24.9,55.5,132.4,310.6,543.7,474.1,175.4,108.9,45.8,14.8,1897.8,11.7,212.8,1503.7,169.5,46.2,850.0,28.5,0
Gangetic West Bengal,2007,18.1,3.5,0.0,37.8,134.2,381.5,620.6,602.1,290.3,212.4,12.2,14.7,2327.4,21.6,172.0,1894.6,239.2,35.9,850.0,34.0,0
Konkan & Goa,2005,14.3,26.1,63.3,110.7,216.4,412.2,659.8,458.0,536.7,224.4,126.0,36.2,2884.1,40.4,390.4,2066.8,386.6,28.8,250.0,30.3,1
Kerala,2020,18.9,24.1,70.7,86.4,282.3,434.8,932.9,785.6,505.9,269.9,97.1,9.7,3518.4,43.0,439.4,2659.2,376.7,12.0,80.0,36.9,1
Sub-Himalayan West Bengal,2013,14.9,31.1,47.2,62.3,115.3,305.1,473.1,405.3,202.1,135.2,89.0,21.1,1901.8,46.0,224.9,1385.6,245.3,50.5,250.0,34.1,1
Odisha,1988,5.5,21.3,55.5,57.7,145.8,485.1,433.0,413.2,369.7,136.3,88.6,0.0,2211.7,26.7,259.0,1701.0,224.9,37.7,15.0,30.7,1
Coastal Karnataka,2015,19.1,22.8,50.1,125.9,217.9,454.9,876.9,606.7,491.6,168.6,134.7,9.0,3178.3,42.0,393.9,2430.1,312.3,12.0,250.0,36.0,1
Kerala,2021,24.3,25.8,33.9,80.4,239.6,203.5,905.3,822.7,369.8,267.3,90.6,29.7,3092.8,50.1,353.8,2301.3,387.6,17.4,850.0,32.5,1
Gujarat Region,1993,10.1,11.4,36.7,85.4,121.1,317.6,730.7,549.5,340.0,234.1,56.2,12.5,2505.2,21.4,243.2,1937.8,302.8,19.0,15.0,26.1,1
Rayalseema,1988,11.8,14.7,25.6,70.5,206.7,254.4,531.0,482.9,253.4,95.0,86.7,19.9,2052.4,26.4,302.8,1521.7,201.5,41.4,250.0,30.9,1
Coastal Karnataka,1994,8.8,34.5,21.9,113.2,236.1,582.3,704.6,611.1,394.9,173.6,67.2,29.1,2977.2,43.3,371.2,2292.9,269.9,18.7,30.0,26.5,1
Sub-Himalayan West Bengal,2019,9.5,10.2,0.0,81.4,65.8,274.5,651.6,377.9,312.8,169.0,56.6,21.6,2030.9,19.7,147.2,1616.8,247.2,31.8,500.0,30.3,1
Gangetic West Bengal,2001,10.7,9.7,11.6,79.4,239.1,162.6,569.5,382.9,257.4,104.5,77.4,24.5,1929.3,20.4,330.1,1372.4,206.4,42.2,850.0,30.7,0
Konkan & Goa,2021,16.4,32.8,27.4,106.4,257.1,415.7,648.6,725.0,360.8,166.9,121.1,26.3,2904.4,49.1,390.9,2150.1,314.4,20.0,850.0,32.4,1
Sub-Himalayan West Bengal,2009,4.4,19.9,16.5,55.1,9.3,527.3,636.9,424.3,277.9,130.3,30.1,22.5,2154.5,24.3,81.0,1866.3,182.9,34.3,30.0,29.9,1
East Uttar Pradesh,2007,7.8,21.8,33.7,39.3,205.9,330.1,622.5,467.9,312.2,242.3,10.9,0.0,2294.5,29.6,279.0,1732.7,253.2,28.7,500.0,36.1,0
Odisha,1981,18.8,29.9,47.7,50.9,134.6,452.6,634.1,460.9,72.4,158.2,99.2,25.4,2184.7,48.7,233.2,1620.1,282.7,34.5,250.0,28.0,1
Bihar,1984,14.1,11.7,30.3,67.4,193.4,537.0,414.4,457.5,251.1,138.2,126.7,14.0,2255.9,25.9,291.0,1660.0,279.0,40.9,250.0,23.3,1
Rayalseema,2015,9.2,23.1,26.3,135.2,191.2,380.9,550.3,624.3,10.0,191.3,79.0,7.1,2227.9,32.3,352.7,1565.5,277.5,39.1,250.0,34.5,1
Rayalseema,1990,17.5,21.3,47.4,47.2,95.0,288.0,876.2,239.4,285.7,126.2,98.1,22.8,2164.7,38.8,189.7,1689.2,247.0,26.4,15.0,24.3,1
Rayalseema,1988,18.3,16.2,39.3,25.6,96.0,415.5,626.6,413.7,109.8,77.2,44.0,26.3,1908.4,34.5,160.9,1565.6,147.5,40.2,15.0,36.2,1
East Uttar Pradesh,1998,13.0,22.1,24.4,37.6,241.5,252.5,631.9,132.7,314.3,189.7,127.9,9.5,1997.1,35.1,303.4,1331.5,327.1,46.9,500.0,33.5,1
Tamil Nadu,1999,4.3,4.0,49.5,54.4,90.5,294.4,439.6,273.5,197.4,102.4,74.8,21.2,1605.9,8.3,194.4,1204.8,198.4,55.4,80.0,30.1,1
Bihar,1981,13.3,28.5,48.0,118.8,120.5,447.0,533.4,507.7,10.0,208.7,94.2,18.3,2148.4,41.8,287.3,1498.2,321.1,45.8,30.0,25.8,1
Bihar,2007,18.4,18.1,24.7,46.2,151.2,488.5,354.5,429.5,227.0,126.8,76.4,24.4,1985.6,36.5,222.1,1499.4,227.6,44.6,850.0,25.7,0
Sub-Himalayan West Bengal,1986,8.8,27.7,35.7,72.0,123.8,418.8,533.1,365.2,255.2,92.6,54.8,2.7,1990.3,36.4,231.6,1572.2,150.1,36.5,15.0,36.0,1
Bihar,1988,17.5,14.7,24.6,115.2,154.9,410.2,396.5,177.6,457.2,110.5,31.2,38.7,1948.8,32.2,294.7,1441.5,180.4,45.3,15.0,24.5,1
Odisha,2021,11.0,0.0,50.8,61.2,153.6,214.1,449.6,373.7,189.1,86.5,115.6,13.3,1718.5,11.0,265.6,1226.6,215.4,50.7,500.0,26.1,0
Gangetic West Bengal,2011,12.4,20.4,29.4,56.5,157.7,344.7,291.9,274.3,236.0,189.2,34.7,2.8,1649.9,32.8,243.6,1146.8,226.7,63.8,15.0,28.4,1
Sub-Himalayan West Bengal,1981,11.2,14.0,39.3,103.6,136.7,268.6,568.3,588.5,279.3,180.3,38.8,24.8,2253.5,25.2,279.6,1704.7,244.0,34.3,15.0,24.8,1
Gangetic West Bengal,2023,12.2,8.3,47.6,35.3,253.5,356.7,483.7,320.6,213.8,239.0,66.0,18.9,2055.6,20.5,336.4,1374.8,323.9,49.1,500.0,30.9,0
East Uttar Pradesh,2008,9.2,12.0,51.0,77.5,106.3,228.5,711.0,444.1,276.6,113.6,55.9,21.8,2107.4,21.2,234.9,1660.1,191.3,35.0,850.0,25.7,0
Kerala,2018,12.7,17.9,47.9,91.8,206.4,576.3,1177.5,740.0,277.9,301.5,63.5,9.3,3522.8,30.6,346.2,2771.7,374.3,12.0,30.0,29.3,1
Rayalseema,2023,17.3,12.4,27.3,63.2,204.3,405.7,888.8,273.8,202.5,139.3,74.5,10.6,2319.8,29.7,294.8,1770.9,224.4,31.2,15.0,33.0,1
Assam & Meghalaya,2011,17.4,16.4,61.0,109.3,231.9,443.7,958.5,719.3,577.3,244.6,119.5,20.1,3519.2,33.8,402.3,2698.9,384.2,12.0,80.0,31.0,1
Coastal Karnataka,1991,10.4,23.9,43.0,124.4,230.2,615.2,846.9,661.6,504.1,171.5,94.6,30.9,3356.6,34.4,397.6,2627.7,297.0,12.0,500.0,24.0,1
Assam & Meghalaya,2010,12.9,22.8,66.1,147.7,289.3,696.8,803.1,759.9,464.7,218.6,82.1,35.7,3599.6,35.7,503.0,2724.5,336.4,12.0,250.0,23.4,1
